ndvi,lat,lon,alt,acs,species,UNIQ_ID
106,-20.9167,-69.0667,2460,LA2931,S. chilense,195
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,196
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,197
112,-16.1383,-73.6428,480,LA3788,S. pennellii,198
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,199
123,-10.15,-77.35,3540,LA3795,S. peruvianum,200
115,-18.2667,-69.5833,3260,LA2773,S. chilense,201
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,202
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,203
106,-14.4492,-75.2203,620,LA1912,S. pennellii,204
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,205
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,206
100,-17.25,-71.25,1336,LA1958,S. chilense,207
108,-23.6833,-68.0667,2390,LA2884,S. chilense,208
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,209
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,210
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,211
102,-8.66,-78.29,480,LA2560,S. pennellii,212
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,213
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,214
124,-17.5333,-70.0333,3015,LA1969,S. chilense,215
107,-25.4,-70.4,660,LA2891,S. chilense,216
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,217
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,218
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,219
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,220
106,-20.9167,-69.0667,2460,LA2931,S. chilense,221
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,222
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,223
112,-16.1383,-73.6428,480,LA3788,S. pennellii,224
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,225
123,-10.15,-77.35,3540,LA3795,S. peruvianum,226
115,-18.2667,-69.5833,3260,LA2773,S. chilense,227
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,228
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,229
106,-14.4492,-75.2203,620,LA1912,S. pennellii,230
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,231
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,232
100,-17.25,-71.25,1336,LA1958,S. chilense,233
108,-23.6833,-68.0667,2390,LA2884,S. chilense,234
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,235
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,236
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,237
102,-8.66,-78.29,480,LA2560,S. pennellii,238
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,239
124,-17.5333,-70.0333,3015,LA1969,S. chilense,240
107,-25.4,-70.4,660,LA2891,S. chilense,241
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,242
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,243
127,-12.45,-75.925,3540,LA1691,S. habrochaites,244
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,245
111,-9.5167,-78.0083,740,LA2580,S. pennellii,246
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,247
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,248
105,-20.4833,-69.9833,1020,LA2748,S. chilense,249
106,-20.9167,-69.0667,2460,LA2931,S. chilense,250
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,251
111,-11.5667,-76.73,1840,LA361,S. habrochaites,252
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,253
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,254
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,255
123,-10.15,-77.35,3540,LA3795,S. peruvianum,256
115,-18.2667,-69.5833,3260,LA2773,S. chilense,257
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,258
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,259
106,-14.4492,-75.2203,620,LA1912,S. pennellii,260
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,261
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,262
100,-17.25,-71.25,1336,LA1958,S. chilense,263
108,-23.6833,-68.0667,2390,LA2884,S. chilense,264
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,265
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,266
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,267
124,-7.18,-78.52,1340,LA2167,S. habrochaites,268
102,-8.66,-78.29,480,LA2560,S. pennellii,269
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,270
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,271
124,-17.5333,-70.0333,3015,LA1969,S. chilense,272
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,273
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,274
127,-12.45,-75.925,3540,LA1691,S. habrochaites,275
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,276
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,277
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,278
106,-20.9167,-69.0667,2460,LA2931,S. chilense,279
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,280
111,-11.5667,-76.73,1840,LA361,S. habrochaites,281
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,282
112,-16.1383,-73.6428,480,LA3788,S. pennellii,283
