ndvi,lat,lon,alt,acs,species,UNIQ_ID
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,107
123,-10.15,-77.35,3540,LA3795,S. peruvianum,108
115,-18.2667,-69.5833,3260,LA2773,S. chilense,109
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,110
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,111
106,-14.4492,-75.2203,620,LA1912,S. pennellii,112
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,113
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,114
100,-17.25,-71.25,1336,LA1958,S. chilense,115
108,-23.6833,-68.0667,2390,LA2884,S. chilense,116
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,117
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,118
102,-8.66,-78.29,480,LA2560,S. pennellii,119
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,120
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,121
124,-17.5333,-70.0333,3015,LA1969,S. chilense,122
107,-25.4,-70.4,660,LA2891,S. chilense,123
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,124
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,125
127,-12.45,-75.925,3540,LA1691,S. habrochaites,126
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,127
111,-9.5167,-78.0083,740,LA2580,S. pennellii,128
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,129
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,130
106,-20.9167,-69.0667,2460,LA2931,S. chilense,131
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,132
111,-11.5667,-76.73,1840,LA361,S. habrochaites,133
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,134
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,135
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,136
123,-10.15,-77.35,3540,LA3795,S. peruvianum,137
115,-18.2667,-69.5833,3260,LA2773,S. chilense,138
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,139
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,140
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,141
118,-14.3833,-74.8167,2940,LA1928,S. habrochaites,142
106,-14.4492,-75.2203,620,LA1912,S. pennellii,143
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,144
108,-23.6833,-68.0667,2390,LA2884,S. chilense,145
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,146
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,147
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,148
102,-8.66,-78.29,480,LA2560,S. pennellii,149
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,150
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,151
124,-17.5333,-70.0333,3015,LA1969,S. chilense,152
107,-25.4,-70.4,660,LA2891,S. chilense,153
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,154
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,155
111,-9.5167,-78.0083,740,LA2580,S. pennellii,156
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,157
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,158
105,-20.4833,-69.9833,1020,LA2748,S. chilense,159
106,-20.9167,-69.0667,2460,LA2931,S. chilense,160
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,161
111,-11.5667,-76.73,1840,LA361,S. habrochaites,162
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,163
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,164
112,-16.1383,-73.6428,480,LA3788,S. pennellii,165
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,166
123,-10.15,-77.35,3540,LA3795,S. peruvianum,167
115,-18.2667,-69.5833,3260,LA2773,S. chilense,168
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,169
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,170
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,171
118,-14.3833,-74.8167,2940,LA1928,S. habrochaites,172
106,-14.4492,-75.2203,620,LA1912,S. pennellii,173
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,174
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,175
100,-17.25,-71.25,1336,LA1958,S. chilense,176
108,-23.6833,-68.0667,2390,LA2884,S. chilense,177
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,178
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,179
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,180
124,-7.18,-78.52,1340,LA2167,S. habrochaites,181
102,-8.66,-78.29,480,LA2560,S. pennellii,182
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,183
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,184
124,-17.5333,-70.0333,3015,LA1969,S. chilense,185
107,-25.4,-70.4,660,LA2891,S. chilense,186
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,187
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,188
127,-12.45,-75.925,3540,LA1691,S. habrochaites,189
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,190
111,-9.5167,-78.0083,740,LA2580,S. pennellii,191
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,192
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,193
105,-20.4833,-69.9833,1020,LA2748,S. chilense,194
